AGG,BND,VCIT,BNDX,VCSH,BSV,LQD,TIP,MBB,MUB,IGSB,SCHP,HYG,EMB,SHY,VTIP,IUSB,GOVT,IEF,TLT,VMBS,BIV,VTEB,MINT,VGSH,SHV,BIL,IGIB,IEI,JNK,VGIT,SCHZ,SCHO,SRLN,SPSB,STIP,CWB,BKLN,FLOT,LMBS,USIG,SPAB,SUB,ISTB,BLV,SPIB,ICSH,SHYG,VCLT,ANGL,SHM,NEAR,SJNK,SPTL,FTSM,BOND,TFI,SPMB,SCHR,IAGG,HYD,EMLC,SPTS,SPIP,TOTL,SPTI,VWOB,GSY,FTSL,PCY,IGLB,VGLT,PZA,SLQD,GVI,BAB,FLRN,FMB,HYLS,FBND,CMF,ITM,HYMB,ICVT,HYS,USFR,TBT,TLH,TDTT,HYEM,IBDQ,EBND,EDV,QLTA,IGOV,AGGY,BSCP,TIPX,PHB,SPLB,BWX,LTPZ,FLTR,TDTF,MUNI,PWZ,SPHY,NYF,SMMU,EMHY,ULST,SPBO,ZROZ,TMF,TMV,SMB,MEAR,TFLO,MLN,BWZ,SJB,UBT,FLRT
90.0892333984375,66.65708923339844,66.95657348632812,45.02163314819336,65.69478607177734,68.49919891357422,91.52253723144531,90.24637603759766,88.8384780883789,93.8691635131836,43.38570785522461,24.312997817993164,58.702125549316406,77.6907730102539,73.79170227050781,39.17899703979492,40.9973258972168,21.706653594970703,91.43787384033203,103.9585189819336,43.758304595947266,67.1603775024414,44.011940002441406,84.74870300292969,52.05061340332031,94.85272979736328,78.98784637451172,42.52915573120117,108.26033020019531,70.35543823242188,54.55782699584961,23.488039016723633,22.915132522583008,30.134702682495117,25.18144989013672,80.4767074584961,40.489994049072266,15.256956100463867,41.53511047363281,42.32229232788086,42.95730209350586,23.251073837280273,96.40106201171875,41.64714813232422,67.1478271484375,27.361726760864258,42.33210754394531,30.966615676879883,66.16957092285156,19.367666244506836,44.14337921142578,41.83681106567383,17.81614112854004,29.849313735961914,50.89980697631836,82.34087371826172,41.88184356689453,20.963672637939453,24.39250373840332,44.57163619995117,47.56214904785156,23.092370986938477,25.91187286376953,21.353660583496094,36.78994369506836,26.27494239807129,54.51942443847656,41.47576141357422,32.53515625,18.415958404541016,43.667816162109375,63.09097671508789,21.07805633544922,41.93795394897461,93.9379653930664,23.99439811706543,25.0894775390625,44.70425796508789,30.89669418334961,38.96685028076172,51.27061462402344,41.3336181640625,22.06499671936035,42.666748046875,67.5530776977539,42.96854019165039,30.323381423950195,111.96646881103516,19.027475357055664,15.245573043823242,19.866268157958984,19.81540298461914,91.19525909423828,41.712039947509766,47.76873016357422,39.29600524902344,16.354333877563477,15.173596382141113,13.44969367980957,19.753372192382812,25.3631591796875,50.29970169067383,20.086200714111328,19.19188117980957,45.2669563293457,21.85748291015625,16.4493465423584,47.61103439331055,44.46088790893555,30.118135452270508,33.9499626159668,24.185626983642578,96.17596435546875,175.8167724609375,40.31174850463867,15.572964668273926,44.69095993041992,43.163673400878906,16.251386642456055,28.7548828125,20.941511154174805,34.99616622924805,33.34029006958008
90.46125030517578,66.91744995117188,67.10989379882812,45.02163314819336,65.82115936279297,68.65596008300781,91.56299591064453,90.77296447753906,89.1689453125,94.13611602783203,43.43605041503906,24.463390350341797,58.73109817504883,78.01974487304688,73.94171142578125,39.28531265258789,41.11370086669922,21.828948974609375,92.16468811035156,105.14151000976562,43.93650436401367,67.49827575683594,44.12399673461914,84.77391052246094,52.16318130493164,94.88710021972656,79.01375579833984,42.601959228515625,108.8747787475586,70.37639617919922,54.91875076293945,23.580671310424805,22.96564483642578,30.282917022705078,25.206520080566406,80.70655059814453,39.77143859863281,15.347777366638184,41.55988311767578,42.34716796875,43.013999938964844,23.351152420043945,96.50171661376953,41.73195266723633,67.49195098876953,27.436180114746094,42.35746765136719,30.966615676879883,66.16957092285156,19.389394760131836,44.15255355834961,41.84521484375,17.809303283691406,30.205764770507812,50.89980697631836,82.69312286376953,41.9687385559082,21.045984268188477,24.539833068847656,44.66547775268555,47.671142578125,23.176198959350586,25.964414596557617,21.476293563842773,36.95330047607422,26.43389129638672,54.66527557373047,41.47576141357422,32.663856506347656,18.464750289916992,43.714229583740234,63.804447174072266,21.136844635009766,42.00566101074219,94.31944274902344,24.115612030029297,25.106019973754883,44.80256652832031,30.903564453125,39.14356231689453,51.472511291503906,41.5074348449707,22.06499671936035,42.033878326416016,67.54598236083984,42.96854019165039,29.61615753173828,113.00360870361328,19.107288360595703,15.252403259277344,19.90801429748535,19.845197677612305,92.53485870361328,41.82850646972656,48.094425201416016,39.46700668334961,16.402494430541992,15.245895385742188,13.44969367980957,19.72236442565918,25.473432540893555,50.74120330810547,20.06180763244629,19.319183349609375,45.41244125366211,21.925127029418945,16.45603370666504,47.81975555419922,44.434139251708984,30.212932586669922,33.96688461303711,24.20137596130371,97.41191864013672,181.80238342285156,38.92168045043945,15.590967178344727,44.74472427368164,43.1722526550293,16.259700775146484,28.9521484375,20.932634353637695,35.80940246582031,33.35306930541992
90.19070434570312,66.71587371826172,66.96463775634766,44.980186462402344,65.64425659179688,68.4817886352539,91.50636291503906,90.58367919921875,88.89779663085938,93.88639068603516,43.38570785522461,24.39958953857422,59.71683883666992,78.6103744506836,73.78288269042969,39.26895523071289,41.03056335449219,21.715377807617188,91.42036437988281,103.9244384765625,43.78376007080078,67.19330596923828,43.986083984375,84.77391052246094,52.05061340332031,94.91291046142578,79.02239227294922,42.496788024902344,108.26923370361328,71.52977752685547,54.59222412109375,23.492666244506836,22.905948638916016,30.586082458496094,25.16474723815918,80.66548919677734,40.74971389770508,15.606241226196289,41.55162811279297,42.355472564697266,42.98970413208008,23.259408950805664,96.42847442626953,41.681087493896484,67.1019515991211,27.361726760864258,42.35746765136719,31.405122756958008,66.00717163085938,19.686357498168945,44.115840911865234,41.85359191894531,18.035423278808594,29.84082794189453,50.91680908203125,82.39688873291016,41.838401794433594,21.0130615234375,24.39710807800293,44.51191329956055,47.41425704956055,23.448715209960938,25.920629501342773,21.44069480895996,36.922176361083984,26.26610565185547,54.803863525390625,41.46747589111328,33.0428352355957,18.65992546081543,43.73741149902344,63.057376861572266,21.044464111328125,41.946407318115234,93.86856842041016,23.9539794921875,25.11429214477539,44.61949157714844,31.24716567993164,39.127498626708984,51.34084701538086,41.36837387084961,22.0217342376709,42.887210845947266,68.34874725341797,42.96854019165039,30.288455963134766,111.80754089355469,19.083343505859375,15.334333419799805,19.90801429748535,20.061233520507812,91.31488037109375,41.736995697021484,48.025333404541016,39.369293212890625,16.354333877563477,15.213760375976562,13.586779594421387,19.7146053314209,25.45505142211914,50.43619155883789,20.086200714111328,19.279396057128906,45.284080505371094,21.798301696777344,16.576345443725586,47.645816802978516,44.416316986083984,30.40257453918457,33.95842742919922,24.122617721557617,96.20135498046875,175.72740173339844,40.24447250366211,15.572964668273926,44.70620346069336,43.1722526550293,16.27629852294922,28.961545944213867,20.559946060180664,34.99616622924805,33.3474006652832
90.0385513305664,66.6150894165039,66.87590789794922,44.8724479675293,65.6190185546875,68.4033432006836,91.51445770263672,90.526123046875,88.7876205444336,93.87773895263672,43.36892318725586,24.395029067993164,60.296695709228516,78.94686126708984,73.72992706298828,39.25260543823242,41.005638122558594,21.671710968017578,91.16641235351562,103.6180419921875,43.73286056518555,67.12741088867188,44.046424865722656,84.76549530029297,52.007320404052734,94.91291046142578,79.02239227294922,42.46445083618164,108.0555191040039,72.32664489746094,54.44611358642578,23.47413444519043,22.901351928710938,30.815141677856445,25.18144989013672,80.65729522705078,41.32108688354492,15.773900985717773,41.56813049316406,42.36376190185547,42.93301773071289,23.234399795532227,96.63899230957031,41.68956756591797,67.06366729736328,27.345165252685547,42.36591339111328,31.600006103515625,66.14636993408203,19.954349517822266,44.17092514038086,41.84521484375,18.158756256103516,29.772932052612305,50.88282012939453,82.30081939697266,41.84708786010742,20.963672637939453,24.346458435058594,44.42658996582031,47.56214904785156,23.609399795532227,25.903108596801758,21.41299819946289,36.968868255615234,26.204296112060547,54.993499755859375,41.47576141357422,33.464725494384766,18.66689109802246,43.74514389038086,62.8895378112793,21.07805633544922,41.9210090637207,93.7645263671875,23.937829971313477,25.130834579467773,44.75510787963867,31.693845748901367,39.079315185546875,51.3847541809082,41.42922592163086,21.99418830871582,43.49557113647461,69.02365112304688,42.985679626464844,30.498003005981445,111.4311752319336,19.067386627197266,15.423091888427734,19.88296890258789,20.098472595214844,90.90023040771484,41.8118896484375,48.163509368896484,39.369293212890625,16.354333877563477,15.20572566986084,13.693402290344238,19.745615005493164,25.500999450683594,50.37195587158203,20.086200714111328,19.255525588989258,45.2669563293457,21.82366943359375,16.60976791381836,47.698001861572266,44.38958740234375,30.538005828857422,33.95842742919922,24.13836669921875,96.03205108642578,173.76199340820312,40.62561798095703,15.572964668273926,44.75368118286133,43.1722526550293,16.27629852294922,29.083662033081055,20.364728927612305,34.7702522277832,33.6634635925293
89.97093963623047,66.53112030029297,66.9323501586914,44.83928680419922,65.58531951904297,68.34236907958984,91.7166748046875,90.60014343261719,88.71981048583984,93.80889129638672,43.36053466796875,24.408702850341797,60.6880989074707,78.88704681396484,73.68582916259766,39.24442672729492,40.98900604248047,21.628032684326172,90.93875885009766,103.34573364257812,43.7243537902832,67.02023315429688,44.011940002441406,84.77391052246094,51.98133087158203,94.90430450439453,79.02239227294922,42.577693939208984,107.85960388183594,72.82992553710938,54.36018371582031,23.47413444519043,22.873802185058594,31.023990631103516,25.18144989013672,80.65729522705078,41.658721923828125,15.829795837402344,41.60940933227539,42.36376190185547,42.94109344482422,23.22606658935547,96.60237121582031,41.681087493896484,67.14015197753906,27.345165252685547,42.35746765136719,31.753129959106445,66.48658752441406,20.084718704223633,44.1617546081543,41.85359191894531,18.25468635559082,29.705026626586914,50.89980697631836,82.24481201171875,41.82969665527344,20.938983917236328,24.305025100708008,44.42658996582031,47.55436706542969,23.490615844726562,25.88559341430664,21.436738967895508,36.937747955322266,26.164567947387695,54.993499755859375,41.47576141357422,33.722145080566406,18.645978927612305,43.87664031982422,62.7384033203125,21.044464111328125,41.870235443115234,93.66917419433594,23.897411346435547,25.130834579467773,44.75510787963867,31.96186065673828,39.071285247802734,51.27061462402344,41.3336181640625,21.90765380859375,43.752784729003906,69.3149185180664,42.985679626464844,30.672630310058594,111.12174224853516,19.067386627197266,15.39577865600586,19.866268157958984,20.068683624267578,90.6769790649414,41.83683395385742,47.916770935058594,39.34973907470703,16.395851135253906,15.20572566986084,13.754321098327637,19.799884796142578,25.4274845123291,50.66895294189453,20.086200714111328,19.263484954833984,45.258392333984375,21.80675506591797,16.6966552734375,47.698001861572266,44.353919982910156,30.57865333557129,33.94150924682617,24.16199493408203,95.71881866455078,172.4219207763672,40.984352111816406,15.590967178344727,44.73577880859375,43.163673400878906,16.193256378173828,29.04609489440918,20.23162841796875,34.585025787353516,33.98380661010742
90.04700469970703,66.6235122680664,67.18254852294922,44.86414337158203,65.728515625,68.4033432006836,92.06438446044922,90.7071533203125,88.66899108886719,93.7055435180664,43.38570785522461,24.44059944152832,60.760562896728516,79.02909088134766,73.72107696533203,39.318023681640625,41.02226638793945,21.628032684326172,90.99131774902344,103.18401336669922,43.7413215637207,67.14385223388672,43.951602935791016,84.79910278320312,51.99863815307617,94.8957290649414,79.02239227294922,42.68284606933594,107.9486312866211,72.9347915649414,54.3859748840332,23.46950912475586,22.89676856994629,31.010517120361328,25.198169708251953,80.78038024902344,42.013694763183594,15.766913414001465,41.642417907714844,42.37205505371094,43.078800201416016,23.251073837280273,96.5199966430664,41.681087493896484,67.1631088256836,27.41136360168457,42.37436294555664,31.780982971191406,66.80355072021484,20.15715980529785,44.17092514038086,41.86198806762695,18.25468635559082,29.628644943237305,50.88282012939453,82.3888931274414,41.794921875,20.955448150634766,24.32343864440918,44.43513107299805,47.577735900878906,23.651321411132812,25.88559341430664,21.47234344482422,36.95330047607422,26.18663787841797,55.07368469238281,41.49230194091797,33.786502838134766,18.7156925201416,44.100948333740234,62.59568786621094,20.97728729248047,41.93795394897461,93.79054260253906,23.90550422668457,25.172197341918945,44.59406280517578,32.09243392944336,39.131526947021484,51.20039749145508,41.2814826965332,21.78963279724121,44.16108703613281,69.29360961914062,42.985679626464844,30.77740478515625,111.13011932373047,19.107288360595703,15.457220077514648,19.88296890258789,20.19532585144043,90.52546691894531,41.88676452636719,48.35103225708008,39.42627716064453,16.420757293701172,15.229822158813477,13.792407035827637,19.96269416809082,25.638843536376953,50.612789154052734,20.086200714111328,19.303268432617188,45.27550506591797,21.730655670166016,16.756816864013672,47.56755065917969,44.42522048950195,30.680238723754883,33.95842742919922,24.16199493408203,95.57491302490234,171.34986877441406,41.18613052368164,15.563969612121582,44.74472427368164,43.15507888793945,16.143430709838867,29.243356704711914,20.205007553100586,34.41334533691406,34.08040237426758
89.94554138183594,66.48910522460938,67.06953430175781,44.8807373046875,65.70321655273438,68.4207992553711,91.82179260253906,90.49319458007812,88.60121154785156,93.79167175292969,43.41089630126953,24.38591194152832,60.9997673034668,78.88704681396484,73.72992706298828,39.301666259765625,40.972389221191406,21.601837158203125,90.9475326538086,102.52021789550781,43.69041442871094,67.07791137695312,43.986083984375,84.81585693359375,52.007320404052734,94.92149353027344,79.03099060058594,42.65856170654297,107.93081665039062,73.29125213623047,54.39456558227539,23.44634246826172,22.89676856994629,30.882522583007812,25.198169708251953,80.74756622314453,42.19548416137695,15.773900985717773,41.642417907714844,42.36376190185547,43.03020095825195,23.22606658935547,96.5199966430664,41.67259216308594,66.78070068359375,27.436180114746094,42.37436294555664,31.906265258789062,66.347412109375,20.236818313598633,44.18009948730469,41.870361328125,18.371185302734375,29.450420379638672,50.891300201416016,82.34087371826172,41.80362319946289,20.930749893188477,24.31423568725586,44.43513107299805,47.48432540893555,23.686262130737305,25.903108596801758,21.405092239379883,36.97664260864258,26.164567947387695,55.037254333496094,41.5005989074707,33.7722053527832,18.70174789428711,43.814762115478516,62.243133544921875,20.968887329101562,41.9717903137207,93.7645263671875,23.873172760009766,25.16391944885254,44.644893646240234,32.21614074707031,39.11946105957031,51.13896179199219,41.22063446044922,21.82110023498535,44.36522674560547,69.86903381347656,43.00281524658203,31.17903709411621,110.82904052734375,19.083343505859375,15.450399398803711,19.941423416137695,20.202768325805664,89.60053253173828,41.78691101074219,48.193119049072266,39.377437591552734,16.370946884155273,15.221790313720703,13.85333251953125,19.784381866455078,25.592897415161133,50.171268463134766,20.118709564208984,19.263484954833984,45.284080505371094,21.722200393676758,16.730072021484375,47.63713455200195,44.416316986083984,30.680238723754883,33.97532653808594,24.146238327026367,94.60138702392578,168.13368225097656,41.97084045410156,15.60895824432373,44.76263427734375,43.189422607421875,16.184953689575195,29.158811569213867,20.151763916015625,34.0112419128418,34.022159576416016
90.07235717773438,66.6235122680664,67.26321411132812,44.93046569824219,65.81272888183594,68.4817886352539,91.99161529541016,90.73180389404297,88.79611206054688,93.8002700805664,43.46963882446289,24.45427703857422,60.804039001464844,78.89449310302734,73.77404022216797,39.34254837036133,40.9973258972168,21.654245376586914,91.21896362304688,102.92021179199219,43.78376007080078,67.2509994506836,44.046424865722656,84.84107971191406,52.024620056152344,94.94729614257812,79.0483169555664,42.747554779052734,108.12677001953125,73.0396499633789,54.489097595214844,23.4833984375,22.901351928710938,30.916200637817383,25.206520080566406,80.87069702148438,42.28205871582031,15.725004196166992,41.66718292236328,42.37620162963867,43.095027923583984,23.24273681640625,96.63899230957031,41.706539154052734,66.93365478515625,27.485816955566406,42.37436294555664,31.815776824951172,66.49431610107422,20.1716365814209,44.216827392578125,41.87876892089844,18.316368103027344,29.55225944519043,50.91680908203125,82.49295806884766,41.890533447265625,20.963672637939453,24.36026954650879,44.42658996582031,47.65556716918945,23.602418899536133,25.91187286376953,21.47234344482422,36.992191314697266,26.230783462524414,55.04453659057617,41.50887680053711,33.60774230957031,18.673866271972656,43.92304992675781,62.486602783203125,21.06127166748047,41.9971809387207,93.98130798339844,23.90550422668457,25.172197341918945,44.75510787963867,32.11304473876953,39.144378662109375,51.21796417236328,41.342323303222656,21.864377975463867,44.50404739379883,69.64168548583984,43.00281524658203,30.934566497802734,111.29735565185547,19.123252868652344,15.470882415771484,19.991533279418945,20.165523529052734,89.91150665283203,41.8118896484375,48.193119049072266,39.414894104003906,16.453960418701172,15.245895385742188,13.845721244812012,19.846399307250977,25.528573989868164,50.412086486816406,20.134973526000977,19.327136993408203,45.335418701171875,21.789846420288086,16.68997573852539,47.68930435180664,44.443058013916016,30.666715621948242,33.97532653808594,24.17774772644043,94.92304992675781,170.00982666015625,41.50001907348633,15.590967178344727,44.70888137817383,43.18083953857422,16.22647476196289,29.130634307861328,20.213878631591797,34.264244079589844,34.11094284057617
89.94554138183594,66.5647201538086,67.21482849121094,44.93046569824219,65.80432891845703,68.49919891357422,91.7490005493164,90.5672607421875,88.8299789428711,93.8691635131836,43.46963882446289,24.40414047241211,60.608333587646484,78.80481719970703,73.77404022216797,39.30984878540039,40.98070526123047,21.628032684326172,91.16641235351562,102.53722381591797,43.74981689453125,67.22630310058594,44.06365966796875,84.85787963867188,52.03327560424805,94.95590209960938,79.0396728515625,42.71519088745117,108.10891723632812,72.82992553710938,54.489097595214844,23.47413444519043,22.905948638916016,30.85556983947754,25.214872360229492,80.78858947753906,41.94441223144531,15.662130355834961,41.68368148803711,42.39692687988281,42.98970413208008,23.251073837280273,96.45594787597656,41.75740051269531,66.6812744140625,27.444454193115234,42.39128875732422,31.739227294921875,66.14636993408203,20.135419845581055,44.19847869873047,41.89554214477539,18.261550903320312,29.450420379638672,50.933815002441406,82.41290283203125,41.890533447265625,20.98836898803711,24.36026954650879,44.52897262573242,47.74897003173828,23.64434242248535,25.920629501342773,21.424867630004883,37.007755279541016,26.22195816040039,55.08101272583008,41.50887680053711,33.50762939453125,18.6529541015625,43.68328094482422,62.259925842285156,21.069665908813477,41.9717903137207,93.85993194580078,23.881248474121094,25.18873405456543,44.746646881103516,32.00309371948242,39.097782135009766,51.30574035644531,41.35970687866211,21.860443115234375,44.185569763183594,69.4285659790039,43.019935607910156,31.161569595336914,111.13011932373047,19.099313735961914,15.436742782592773,19.94977569580078,20.19532585144043,89.37725830078125,41.82020950317383,48.27207565307617,39.386383056640625,16.46060562133789,15.221790313720703,13.800028800964355,19.76112937927246,25.556137084960938,50.171268463134766,20.15123748779297,19.29532241821289,45.32685089111328,21.789846420288086,16.730072021484375,47.68930435180664,44.48761749267578,30.619300842285156,33.96688461303711,24.146238327026367,94.55903625488281,168.22303771972656,41.99326705932617,15.60895824432373,44.69992446899414,43.189422607421875,16.251386642456055,29.12124252319336,20.275989532470703,33.997684478759766,34.050575256347656
89.96248626708984,66.57308959960938,67.26321411132812,45.00505828857422,65.8717041015625,68.54273986816406,91.80561065673828,90.48494720458984,88.85543823242188,93.87773895263672,43.49481201171875,24.376800537109375,60.811317443847656,79.073974609375,73.8005142211914,39.27712631225586,40.98070526123047,21.628032684326172,91.07886505126953,102.16275024414062,43.792240142822266,67.20153045654297,44.072288513183594,84.8662338256836,52.03327560424805,94.96450805664062,79.05692291259766,42.73137283325195,108.06441497802734,73.01866912841797,54.48049545288086,23.464872360229492,22.905948638916016,30.794937133789062,25.214872360229492,80.76399230957031,42.26472473144531,15.655147552490234,41.73323440551758,42.38032150268555,43.013999938964844,23.234399795532227,96.50171661376953,41.76587677001953,66.55891418457031,27.477548599243164,42.39973831176758,31.8366641998291,66.09999084472656,20.20785140991211,44.189300537109375,41.89554214477539,18.330080032348633,29.36555290222168,50.933815002441406,82.5090103149414,41.92530059814453,20.980134963989258,24.351062774658203,44.5673828125,47.756771087646484,23.672285079956055,25.920629501342773,21.41299819946289,36.97664260864258,26.22195816040039,55.14664077758789,41.50887680053711,33.43613052368164,18.70871925354004,43.644615173339844,62.03325271606445,21.027673721313477,42.03104782104492,93.87727355957031,23.840843200683594,25.1970157623291,44.797481536865234,32.00997543334961,39.08733367919922,51.30574035644531,41.4205436706543,21.895851135253906,44.471397399902344,69.5493392944336,43.019935607910156,31.388591766357422,110.9711685180664,19.083343505859375,15.532322883605957,19.991533279418945,20.1878719329834,88.8191146850586,41.8118896484375,48.064815521240234,39.37337112426758,16.429059982299805,15.221790313720703,13.860950469970703,19.745615005493164,25.500999450683594,50.01072692871094,20.15123748779297,19.263484954833984,45.343994140625,21.80675506591797,16.750131607055664,47.732818603515625,44.443058013916016,30.7005672454834,33.97532653808594,24.130502700805664,93.45008087158203,166.436279296875,42.41925811767578,15.617953300476074,44.75368118286133,43.19802474975586,16.259700775146484,29.102460861206055,20.169509887695312,33.74467849731445,34.0910530090332
