Date,SPY,IVV,VOO,QQQ,VEA,IWF,IWM,IJH,IWD,IWR,IWB,RSP,DIA,MDY,SDY,ARKK,VXF,XLI,TQQQ,SPLG,EWJ,VSS,SOXX,VONG,VTWO,EWT,SMH,QLD,AMLP,VIS,SPMD,FXI,QYLD,SSO,ONEQ,SPSM,SOXL,QTEC,UPRO,SPXL,FEZ,VIOO,SQQQ,IVOO,TNA,QQEW,SH,UDOW,PSQ,DDM,TZA,URTY,SDOW,UWM,DOG,RWM,QID,SOXS
2019-01-02,226.9547576904297,227.21507263183594,207.78688049316406,148.75747680664062,30.726070404052734,124.79708099365234,124.30310821533203,30.088336944580078,97.08284759521484,42.320411682128906,126.50955963134766,81.9162368774414,206.74346923828125,279.1523742675781,75.44857788085938,36.093387603759766,92.28755950927734,58.204742431640625,9.027301788330078,26.396514892578125,45.78160858154297,79.96135711669922,49.471805572509766,31.864490509033203,49.77271270751953,21.27231216430664,41.86135482788086,16.730581283569336,25.774044036865234,110.9669418334961,26.691450119018555,33.67301940917969,10.029862403869629,22.589733123779297,24.554973602294922,23.901580810546875,5.5058369636535645,67.23231506347656,16.844694137573242,31.612714767456055,27.901199340820312,58.220401763916016,7615.3896484375,50.9490966796875,41.2831916809082,52.92417526245117,113.70616912841797,34.11217498779297,147.57733154296875,36.42342758178711,536.9511108398438,49.22649383544922,1124.1126708984375,25.627670288085938,54.2124137878418,40.921775817871094,811.9802856445312,136901.46875
2019-01-03,221.53897094726562,221.53736877441406,202.8268585205078,143.89747619628906,30.477275848388672,120.92369079589844,122.0784683227539,29.59935760498047,95.50019836425781,41.60759735107422,123.47979736328125,80.33077239990234,200.86077880859375,274.5614013671875,74.49825286865234,34.90699005126953,90.58656311035156,56.4336051940918,8.152685165405273,25.77297019958496,45.521484375,79.07523345947266,46.58656311035156,30.91514778137207,48.82945251464844,20.605850219726562,39.34739303588867,15.608452796936035,25.91900634765625,107.75476837158203,26.237972259521484,33.0909538269043,9.88866138458252,21.473983764648438,23.83936309814453,23.477670669555664,4.527365684509277,63.94980239868164,15.58798599243164,29.270322799682617,27.530527114868164,57.18807601928711,8367.6982421875,50.11806106567383,39.00788879394531,51.58921432495117,116.57331085205078,31.234493255615234,152.5252685546875,34.390811920166016,567.1006469726562,46.50792694091797,1216.7144775390625,24.651887893676758,55.733280181884766,41.687904357910156,866.9276733398438,160891.234375
2019-01-04,228.95962524414062,229.32725524902344,209.52149963378906,150.05406188964844,31.414396286010742,125.71295928955078,126.63850402832031,30.57915496826172,98.24578094482422,42.96923828125,127.69585418701172,83.00010681152344,207.5585479736328,283.5581970214844,76.22920227050781,37.06758117675781,93.86833953857422,58.57335662841797,9.1954984664917,26.658580780029297,47.06428146362305,81.38756561279297,48.688621520996094,32.116065979003906,50.63777160644531,21.00708770751953,41.18048858642578,17.007404327392578,27.368614196777344,111.93978118896484,27.11771583557129,34.21165466308594,10.100460052490234,22.95435905456543,24.808263778686523,24.361576080322266,5.112518310546875,66.77040100097656,17.17336654663086,32.22711181640625,28.45719337463379,59.15595245361328,7269.23583984375,51.748172760009766,43.43315505981445,53.794795989990234,112.54479217529297,34.293521881103516,145.64120483398438,36.6064567565918,503.2121276855469,51.730690002441406,1098.324951171875,26.506359100341797,53.929447174072266,40.12923049926758,789.5880737304688,139886.90625
2019-01-07,230.7648468017578,230.8707733154297,211.09349060058594,151.8405303955078,31.513914108276367,127.01995086669922,128.85391235351562,30.91181182861328,98.79663848876953,43.47185134887695,128.7452850341797,83.86897277832031,208.5153350830078,286.71453857421875,76.53463745117188,38.67837905883789,95.50464630126953,59.04985809326172,9.488638877868652,26.90257453918457,47.180885314941406,81.88548278808594,49.587703704833984,32.43171691894531,51.590248107910156,21.190702438354492,41.97563171386719,17.350961685180664,27.716514587402344,112.72901916503906,27.42608070373535,34.28984451293945,10.156939506530762,23.287378311157227,25.183019638061523,24.803529739379883,5.412496566772461,67.84162139892578,17.564882278442383,33.00471878051758,28.48247528076172,60.01775360107422,7038.46630859375,52.29610824584961,45.72773742675781,54.59770202636719,111.78263854980469,34.75643539428711,144.2213134765625,36.933990478515625,476.29266357421875,54.43950271606445,1083.6728515625,27.448163986206055,53.66417694091797,39.38951873779297,772.5353393554688,132103.546875
2019-01-08,232.9329833984375,233.1454620361328,213.1443634033203,153.21400451660156,31.737831115722656,128.6036834716797,130.82931518554688,31.428062438964844,99.60107421875,44.011024475097656,130.04116821289062,84.773681640625,210.78343200683594,291.5184020996094,77.48497009277344,38.794124603271484,96.89129638671875,59.85900115966797,9.762557029724121,27.182716369628906,47.40513229370117,82.44247436523438,49.371551513671875,32.847049713134766,52.377071380615234,21.14310073852539,41.7327995300293,17.69699478149414,28.412334442138672,114.4728012084961,27.87955093383789,34.44621658325195,10.213422775268555,23.7152099609375,25.458906173706055,25.182344436645508,5.329455852508545,68.16593933105469,18.05306625366211,33.89751052856445,28.667808532714844,60.87495422363281,6840.0048828125,53.21847152709961,47.713809967041016,54.99430847167969,110.73014068603516,35.90654754638672,142.75848388671875,37.74319076538086,455.4751281738281,56.865760803222656,1049.093994140625,28.283161163330078,53.10711669921875,38.80831527709961,757.5498046875,133809.484375
2019-01-09,234.0215606689453,234.2286376953125,214.12916564941406,154.46263122558594,32.12760543823242,129.30963134765625,131.90933227539062,31.735279083251953,100.0207748413086,44.358299255371094,130.71652221679688,85.37384796142578,211.66934204101562,294.39703369140625,77.58680725097656,40.00945281982422,97.7602767944336,60.263580322265625,9.993227005004883,27.31826400756836,47.66525650024414,83.48894500732422,50.64030456542969,33.02505874633789,52.81880187988281,21.537534713745117,42.79933166503906,17.96146011352539,28.731246948242188,115.35384368896484,28.13349723815918,35.0369758605957,10.189888000488281,23.933982849121094,25.633102416992188,25.41684913635254,5.741444110870361,69.41407775878906,18.30440902709961,34.39671325683594,29.03847312927246,61.49712371826172,6687.697265625,53.71161651611328,48.9285774230957,55.58440017700195,110.2220230102539,36.35991668701172,141.81192016601562,38.022552490234375,443.9895324707031,58.28837585449219,1037.3720703125,28.729785919189453,52.903743743896484,38.49130630493164,746.6981811523438,123787.0703125
2019-01-10,234.8471221923828,235.14939880371094,215.02357482910156,154.90444946289062,32.26030349731445,129.9678955078125,132.5924072265625,31.97885513305664,100.44051361083984,44.66900634765625,131.3187713623047,85.89337158203125,212.6261749267578,296.7665100097656,78.18075561523438,40.212005615234375,98.35193634033203,61.08171844482422,10.089338302612305,27.444787979125977,47.95228958129883,83.7252426147461,51.088294982910156,33.188812255859375,53.03966522216797,21.673545837402344,43.24213790893555,18.052913665771484,28.26736831665039,116.90486907958984,28.32395362854004,35.2454719543457,10.241659164428711,24.118722915649414,25.75457191467285,25.534103393554688,5.903019905090332,69.85633087158203,18.526752471923828,34.780704498291016,29.01320457458496,61.7505989074707,6618.4658203125,54.14995574951172,49.642024993896484,55.84560012817383,109.7502212524414,36.861000061035156,141.42471313476562,38.407875061035156,437.52886962890625,59.1360969543457,1022.1339721679688,29.0550479888916,52.62078094482422,38.30638122558594,742.5641479492188,120161.953125
2019-01-11,234.93785095214844,235.0229949951172,214.92422485351562,154.33773803710938,32.061256408691406,129.66262817382812,132.62936401367188,32.004310607910156,100.6328353881836,44.714698791503906,131.29141235351562,85.95606994628906,212.5198516845703,296.8961181640625,78.09590148925781,40.29882049560547,98.36119842529297,61.01878356933594,9.969199180603027,27.444787979125977,47.39616012573242,83.29481506347656,51.63650894165039,33.1199836730957,53.11329650878906,21.646345138549805,43.59922790527344,17.94416046142578,27.890474319458008,116.74884796142578,28.369306564331055,35.08909606933594,10.265193939208984,24.1090030670166,25.689599990844727,25.588218688964844,6.067815780639648,69.96444702148438,18.51224708557129,34.790313720703125,28.768901824951172,61.88884735107422,6692.3125,54.213897705078125,49.73843002319336,55.87461471557617,109.78651428222656,36.822818756103516,141.76890563964844,38.39825439453125,437.1700134277344,59.33097839355469,1021.5477294921875,29.08418083190918,52.65614700317383,38.29756546020508,747.0426025390625,116750.1015625
2019-01-14,233.5044708251953,233.8856201171875,213.74072265625,152.97390747070312,31.89540672302246,128.6513671875,131.30934143066406,31.81344223022461,100.20440673828125,44.39484405517578,130.52487182617188,85.49030303955078,211.68707275390625,295.2485046386719,77.72254180908203,39.57540512084961,97.57539367675781,61.009803771972656,9.709695816040039,27.282119750976562,47.22573471069336,82.71251678466797,50.79694366455078,32.88265609741211,52.53352355957031,21.36751937866211,42.85171127319336,17.617902755737305,27.658538818359375,116.52859497070312,28.187915802001953,34.67209243774414,10.236949920654297,23.83917999267578,25.46079444885254,25.371753692626953,5.780711650848389,69.08976745605469,18.198070526123047,34.15671157836914,28.667808532714844,61.35886001586914,6881.54296875,53.944488525390625,48.25370407104492,55.30388259887695,110.47608947753906,36.35991668701172,143.1026611328125,38.109249114990234,449.7323303222656,57.5380973815918,1034.4415283203125,28.47249412536621,52.87721633911133,38.67622756958008,760.6502685546875,122187.765625
2019-01-15,236.1806640625,236.4130096435547,216.2432861328125,155.9609375,32.09443664550781,130.65484619140625,132.41700744628906,32.0079460144043,100.95636749267578,44.76952362060547,131.93934631347656,86.1441879272461,213.19314575195312,297.072021484375,78.17227172851562,40.78109359741211,98.50908660888672,60.82099151611328,10.247922897338867,27.589374542236328,47.79979705810547,83.0079116821289,50.944175720214844,33.383426666259766,52.96145248413086,21.58513641357422,42.96597671508789,18.312435150146484,28.151403427124023,116.27159118652344,28.35116195678711,35.01090621948242,10.255780220031738,24.383686065673828,25.8609676361084,25.588218688964844,5.818691730499268,69.7384033203125,18.81192398071289,35.337501525878906,28.701499938964844,61.72755432128906,6480.00390625,54.20475387573242,49.54560852050781,55.971351623535156,109.24211883544922,37.137794494628906,140.39208984375,38.61981964111328,437.8877868652344,59.05815124511719,1014.5146484375,28.977373123168945,52.505828857421875,38.3239860534668,730.8511352539062,121548.0546875
